noise_p,energy,purity,fidelity,entropy,top_cost,top_feasible
0,-1.11729,1,1,-6.66134e-16,265,1
0.00336134,-0.954837,0.401156,0.629154,2.10668,265,1
0.00672269,-0.810793,0.168713,0.398196,3.23257,370,1
0.010084,-0.684458,0.0759402,0.254128,3.95521,370,1
0.0134454,-0.574691,0.0374556,0.164006,4.44004,370,1
0.0168067,-0.480097,0.0206711,0.107388,4.77249,370,1
0.0201681,-0.399171,0.0128945,0.0716104,5.0033,370,1
0.0235294,-0.330389,0.00904152,0.0488274,5.16474,370,1
0.0268908,-0.272278,0.00699817,0.0341798,5.27815,370,1
0.0302521,-0.22345,0.00584415,0.0246531,5.358,370,1
0.0336134,-0.182633,0.00515648,0.0183731,5.41427,370,1
0.0369748,-0.148677,0.00472886,0.0141701,5.45392,370,1
0.0403361,-0.120556,0.00445432,0.0113105,5.4818,370,1
0.0436975,-0.0973698,0.004274,0.00933062,5.50138,335,1
0.0470588,-0.0783329,0.00415375,0.00793551,5.51507,335,1
0.000420168,-1.09597,0.890323,0.943483,0.416301,265,1
0.00378151,-0.935834,0.358927,0.593969,2.27944,265,1
0.00714286,-0.794053,0.152054,0.376267,3.3403,370,1
0.0105042,-0.669858,0.0691383,0.240428,4.02658,370,1
0.0138655,-0.562067,0.0345485,0.155416,4.48865,370,1
0.0172269,-0.469265,0.019356,0.101974,4.8061,370,1
0.0205882,-0.38994,0.0122597,0.0681745,5.02675,370,1
0.0239496,-0.322571,0.00871338,0.0466276,5.18119,370,1
0.0273109,-0.265694,0.0068171,0.0327561,5.28972,370,1
0.0306723,-0.217935,0.00573833,0.0237199,5.36616,370,1
0.0340336,-0.178036,0.00509166,0.0177525,5.42002,370,1
0.037395,-0.144862,0.00468771,0.0137508,5.45796,370,1
0.0407563,-0.117405,0.0044275,0.0110222,5.48465,370,1
0.0441176,-0.0947781,0.00425621,0.00912897,5.50337,335,1
0.047479,-0.0762101,0.00414181,0.00779193,5.51646,335,1
0.000840336,-1.07493,0.793081,0.890218,0.739387,265,1
0.00420168,-0.917118,0.32139,0.560806,2.44133,265,1
0.00756303,-0.777588,0.137191,0.355593,3.4424,370,1
0.0109244,-0.655514,0.0630389,0.227508,4.09453,370,1
0.0142857,-0.549677,0.0319246,0.14731,4.53503,370,1
0.0176471,-0.458644,0.0181598,0.0968617,4.83822,370,1
0.0210084,-0.380896,0.0116773,0.0649265,5.04918,370,1
0.0243697,-0.314917,0.00840978,0.0445455,5.19693,370,1
0.0277311,-0.259252,0.00664829,0.0314066,5.3008,370,1
0.0310924,-0.212542,0.00563902,0.0228339,5.37396,370,1
0.0344538,-0.173543,0.00503053,0.0171622,5.42552,370,1
